,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3455,24144270,By AKB ElectricTown!4pax&1DK!TV･pocketwifi#1,173598497,Shigeru,,Chiyoda Ku,35.69645,139.77286999999998,Entire home/apt,29996,2,65,13/09/2019,3.7,4,155
8948,33209641,"Modern & Peaceful Apt, 2 stops to Shinjuku #12",118290014,Yuna,,Shibuya Ku,35.67745,139.68038,Entire home/apt,100024,1,2,27/05/2019,0.44,5,134
9485,33973581,SL201/NEW!/40%OFF!/4mins to Ueno/2 bedrooms/8pax,256538783,Yukiko,,Taito Ku,35.727740000000004,139.79262,Entire home/apt,25033,1,20,20/09/2019,4.35,7,8
8049,32037125,Family room C type,82937453,Beagle Tokyo,,Ota Ku,35.55028,139.74188999999998,Private room,40031,1,2,06/06/2019,0.41,6,276
7010,30548248,浅草站步行3分四人家庭房夜景天空树可添加沙发床,224311770,聖聖,,Taito Ku,35.71373,139.80026999999998,Entire home/apt,14998,1,20,14/09/2019,2.23,7,55
1813,18800486,Bonny Apartment in Asakusa 5F,130057322,Bonny,,Taito Ku,35.71837,139.79126000000002,Entire home/apt,10035,1,10,28/06/2017,0.35,5,0
10336,34980856,7 min Sta.-Center of IKEBUKURO Cozy Room#503,263416532,Shine,,Toshima Ku,35.730140000000006,139.71739,Entire home/apt,4963,2,12,18/09/2019,3.24,1,332
8484,32616052,SAMURAIS HOSTEL Twin Room with Shared Toilet,244467552,SAMURAIS HOSTEL Ikebukuro,,Toshima Ku,35.737320000000004,139.70574,Hotel room,4963,1,1,30/07/2019,0.49,4,138
10703,35584702,NO.1 close to Hamamatsucho Station!Phiten Single room with Wifi&Handy Smartphone,267743729,変なﾎﾃﾙ東京 浜松町,,Minato Ku,35.657059999999994,139.7561,Private room,19962,1,0,,,8,150
7510,31130352,"Uhome Ueno Apartment2F, 5mn walk from Ueno Station",73463626,Hara,,Taito Ku,35.71682,139.77969,Entire home/apt,11977,1,25,20/09/2019,2.98,71,21
10600,35436516,4 People Family Room in Shinjuku/ Free Pocket-wifi,216354215,Mariz,,Shinjuku Ku,35.70027,139.69633000000002,Private room,14027,1,3,18/08/2019,1.34,8,221
3748,24996260,Free Gym Access! Twin Room in Stylish hostel&cafe,188949552,Emblem,,Adachi Ku,35.777229999999996,139.79101,Hotel room,8956,2,5,07/04/2019,0.33,8,136
534,9950061,"新宿站步行8分钟,3分钟至大久保站,不加床可入住6人｡",49482083,Rui,,Shinjuku Ku,35.69897,139.69483,Entire home/apt,24817,3,19,25/08/2019,0.42,3,47
3849,25314064,SALE S:203 Shinjuku Easy Access/ Comfty & Clean,50264232,Sota,,Shinjuku Ku,35.6994,139.69041,Entire home/apt,49958,1,27,24/09/2019,1.69,17,172
4501,26724292,Shimokitazawa/Free Wifi! New stylish interior TW76,200958979,Jin,,Setagaya Ku,35.66199,139.66551,Private room,8956,1,16,20/09/2019,2.87,2,158
8874,33034340,401ｽｶｲﾂﾘｰ展望ﾅﾁｭﾗﾙｽﾀｲﾙ 屋上BBQ成田便利freewifi open sale,71586600,捷,,Katsushika Ku,35.74479,139.82867,Entire home/apt,11977,1,7,22/09/2019,1.11,7,202
10917,35918368,Asakusa  Luxury Private house 10PAX Ueno Akihabara,267481408,Hyongsu,,Taito Ku,35.72605,139.79675,Entire home/apt,12840,1,4,24/08/2019,1.43,3,43
2279,20707980,Renewal 40% Sale!/3 mins to sta/Ikebukuro/CV307,111681530,Nagisa,,Itabashi Ku,35.74607,139.71525,Entire home/apt,14998,1,45,25/08/2019,1.86,4,96
3823,25270302,高松2 池袋から電車1駅､交通便利･WiFi･電子ﾚﾝｼﾞ･洗濯機,128821251,Akira,,Toshima Ku,35.739259999999994,139.70076,Private room,4963,1,1,05/06/2018,0.06,31,0
3933,25749935,RoofTop bathtub w/SkyTree view/5min toAsakusa/Wifi,193349617,Yurie,,Sumida Ku,35.71653,139.8279,Entire home/apt,49958,1,41,18/09/2019,2.97,2,84
1116,15132105,"302 / 3min to Asakusa st./Kaminari-mon,Sensoji",57699141,Qiu,,Taito Ku,35.7077,139.79442,Entire home/apt,11977,1,85,02/09/2019,2.36,25,283
11113,36184752,"[OS3C] Asakusa/ Tokyo Sky Tree 8 min Sta., 1R",116938540,Cookie,,Sumida Ku,35.7136,139.81118999999998,Entire home/apt,40031,2,0,,,14,27
4415,26607588,Max7Pax! In Ueno/Asakusa/Near Sta.5mins/2Wifi _Y41,55354915,Jun,,Taito Ku,35.72177,139.78589,Entire home/apt,32370,2,8,23/07/2019,0.57,5,200
4219,26232227,CENTRALLY LOCATED DELUXE FURNISHED.1,8439950,Yash,,Shinjuku Ku,35.69788,139.71993,Entire home/apt,16509,4,7,10/04/2019,0.55,6,304
7456,31066519,Exsaison Kamata 103,118653711,Erina,,Ota Ku,35.5537,139.72062,Private room,3992,1,9,04/09/2019,1.24,15,75
2278,20705382, Family  in a real Japanese inn,144708006,Family Inn Saiko,,Toshima Ku,35.73168,139.68985,Private room,14998,3,8,07/04/2019,0.52,2,72
9756,34360847,NEW OPEN!SkyTree♪7min to Sta♪Asakusa10min♪FreeWiFi,259410450,Akiko,,Sumida Ku,35.7306,139.81609,Entire home/apt,29996,2,9,09/08/2019,2.03,1,117
5993,29253775,Tokyo Shimokitazawa 60sec!Stylish Flat★,167469339,Nakashiki,,Setagaya Ku,35.66251,139.66522,Entire home/apt,10466,2,33,21/09/2019,2.96,1,152
11821,37507829,Near Nakano Shinbashi Station / bunk bed /2p,277296051,Qing,,Nakano Ku,35.689,139.67533,Private room,5503,1,1,15/09/2019,1.0,17,180
12545,38497602,[NEW OPEN]Popular Asakusa★Only 1 minute★,287003344,Kei,,Taito Ku,35.71505,139.79391999999999,Entire home/apt,19962,2,0,,,10,186
3120,23158448,"6mins to shinjuku,8mins to station(have Wi-Fi)#102",172143235,Kasumata,,Suginami Ku,35.70733,139.65438,Entire home/apt,7877,1,19,15/09/2019,1.57,4,136
3263,23634795,"*SHIMOKITA HOSTEL* Shibuya3min, Shinjuku8min",176875741,Shimokita Hostel,,Setagaya Ku,35.65911,139.66808999999998,Hotel room,7661,1,20,13/09/2019,1.11,9,186
4485,26686535,"[NL]near to Shinjuku,Shibuya,Ueno etc,self checkIn",193171483,Liyan,,Kita Ku,35.73689,139.76481,Private room,3561,1,58,11/09/2019,4.01,10,272
4632,27033108,LY Inn RYOGOKU 4-1 free wifi near JR Metro,44066901,Yuqian,,Sumida Ku,35.700309999999995,139.80485,Entire home/apt,14998,2,22,07/09/2019,1.55,35,239
7595,31277648,"good location, early check in, long-term ok, quiet",62374535,Mabel,,Kita Ku,35.74694,139.72239,Private room,5503,1,3,14/04/2019,0.41,5,179
4118,25987849,"7 beds use in a shared mix dormitory, obi Hostel",141952115,Obi,,Chuo Ku,35.6918,139.7808,Hotel room,23846,1,2,29/10/2018,0.14,46,180
8813,32998249,75sqm/JR Kameari 2min/Haneda bus / Akiba/Asakusa/3,91235096,Kayo,,Katsushika Ku,35.7656,139.84873000000002,Entire home/apt,34960,2,16,09/09/2019,2.53,7,77
2802,22053523,NEW OPEN senso-ji 雷门浅草寺近在咫尺 浅草站1分钟 women only紅葉の間,148512690,Kd,,Taito Ku,35.71116,139.79718,Private room,4963,1,42,24/08/2019,2.12,15,287
10037,34658444,"New! Hotel Quality, Ginza area·5min to stn#Max4",213268738,浩悦,,Chuo Ku,35.67337,139.77452,Entire home/apt,14027,2,17,14/09/2019,4.02,11,92
