4117,25987518,"7 beds use in a shared mix dormitory, obi Hostel",141952115,Obi,,Chuo Ku,35.69135,139.78301,Hotel room,23846,1,3,25/07/2019,0.36,46,180
3393,23964533,SafeCozyClean+1min to MetroÂ SuperHostelÂ 3Menâ€™s GT1,136144843,Akiko,,Minato Ku,35.65729,139.74443,Hotel room,10466,1,4,06/09/2018,0.25,33,177
10035,34657461,èŒœ 202 Ueno Asakusa/Airport Pickup YADOYA 2baths,176875986,Chikako,,Taito Ku,35.7204,139.78262,Hotel room,40031,1,4,26/09/2019,1.41,28,167
6477,29833946,Japanese-Style Twin Room with Shared Bathroom,214541401,Tadaima Japan,,Shinjuku Ku,35.68936,139.72222,Hotel room,12948,1,0,,,3,0
6395,29716093,[Day of Week Discount Plan]Female Only No Smoking,98054265,Hotel Maruchu,,Taito Ku,35.72832,139.80047,Hotel room,3669,1,0,,,19,1
5213,27886965,!Now on SALE !5min to station! Ryokan for 4ppl 206,162218189,Tosaya,,Shinjuku Ku,35.68908,139.68755,Hotel room,19962,1,21,16/07/2019,1.63,23,211
